0.4,0.4,0.8,4.5e-05,5132.32429494
0.5,0.5,1.0,1.5e-05,161.423625521
0.6,0.6,1.2,2e-05,52.6623675147
0.7,0.7,1.4,7e-05,32.0977326504
0.7999999999999999,0.7999999999999999,1.5999999999999999,1.5e-05,98.8635608402
0.8999999999999999,0.8999999999999999,1.7999999999999998,1.5e-05,-201.199192187
0.9999999999999999,0.9999999999999999,1.9999999999999998,7.5e-05,38.6952073571
1.0999999999999999,1.0999999999999999,2.1999999999999997,2e-05,115.395768018
1.2,1.2,2.4,1e-05,135.59870451
1.3,1.3,2.6,2.5e-05,73.1115529666
